"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","UserLanguage","COM_1","CRT_1","CRT_2","CRT_3","CRT_4","CRT_5","MDA_1","MDA_2 _1","MDB_1","MDB_2 _1","MDC_1","MDC_2 _1","ATT_1","DQ_1","DQ_2","DQ_2 _3_TEXT","DQ_3","DQ_4","DQ_4 _6_TEXT","DQ_5","DQ_6 _1","Q29_1","SC0","FL_17_DO","FL_18_DO"
"2023-12-04 23:17:36","2023-12-04 23:23:25","0","100","349","1","2023-12-04 23:23:26","EN","2","2","10","1","8","13","1","5","2","2","2","3","4","57","2","-99","5","1","-99","2","1","1","7","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:19:19","2023-12-04 23:23:50","0","100","271","1","2023-12-04 23:23:51","EN","2","Two","10","1","7","13","1","5","1","5","1","5","4","23","2","-99","6","6","Hispanic and Ashkenazi","3","2","2","13","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:17:08","2023-12-04 23:23:56","0","100","408","1","2023-12-04 23:23:57","EN","2","5","50 minutes","1","0","13","1","2","2","1","1","5","4","25","2","-99","1","2","-99","3","2","2","8","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:18:38","2023-12-04 23:24:01","0","100","322","1","2023-12-04 23:24:01","EN","2","2","50","1","8","13","2","1","2","1","2","1","4","46","2","-99","1","2","-99","5","2","1","3","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:20:06","2023-12-04 23:24:03","0","100","236","1","2023-12-04 23:24:03","EN","2","2","50","1","8","8","1","3","1","1","1","1","4","44","2","-99","5","1","-99","2","1","1","6","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:16:57","2023-12-04 23:24:16","0","100","438","1","2023-12-04 23:24:17","EN","2","0","50","12","8","7","1","6","1","4","2","2","4","45","1","-99","7","-99","-99","4","2","2","9","FL_18|CRT ","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:20:41","2023-12-04 23:24:16","0","100","215","1","2023-12-04 23:24:17","EN","2","2","10","1","8","25","1","5","2","1","2","5","4","24","2","-99","2","1","-99","4","2","3","9","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:23:13","2023-12-04 23:24:48","0","100","95","1","2023-12-04 23:24:49","EN","2","two","10","12","8","25","1","5","1","5","1","6","4","21","1","-99","1","1","-99","2","3","3","16","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:14:31","2023-12-04 23:24:57","0","100","626","1","2023-12-04 23:24:58","EN","2","2","50","1","8","13","1","4","1","4","1","4","4","27","1","-99","1","2","-99","4","1","1","12","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:20:07","2023-12-04 23:25:01","0","100","294","1","2023-12-04 23:25:01","EN","2","13","10","1","8","27","1","2","1","1","1","2","4","36","1","-99","6","1","-99","5","2","1","7","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:20:57","2023-12-04 23:25:02","0","100","244","1","2023-12-04 23:25:03","EN","2","2","50","1","8","13","2","2","2","2","2","2","4","54","2","-99","2","1","-99","2","1","1","5","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:20:54","2023-12-04 23:25:03","0","100","248","1","2023-12-04 23:25:04","EN","2","2","10","1","8","25","1","6","1","3","2","2","4","24","1","-99","1","1","-99","4","3","2","9","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:17:20","2023-12-04 23:25:16","0","100","476","1","2023-12-04 23:25:17","EN","2","2","50","1","7","2","2","3","2","5","2","3","4","37","1","-99","2","2","-99","4","1","3","8","FL_18|CRT ","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:19:48","2023-12-04 23:25:18","0","100","329","1","2023-12-04 23:25:18","EN","2","0","50","1","8","26","1","5","1","5","1","5","4","28","2","-99","1","2","-99","4","2","3","14","FL_18|CRT ","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:22:12","2023-12-04 23:25:26","0","100","193","1","2023-12-04 23:25:26","EN","2","two","10","one","eight","25","1","6","1","5","2","3","4","33","1","-99","6","1","-99","3","2","2","11","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:16:29","2023-12-04 23:25:31","0","100","541","1","2023-12-04 23:25:31","EN","2","7800","50","12","7","52","2","1","2","1","2","2","4","32","2","-99","2","2","-99","4","2","2","3","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:17:58","2023-12-04 23:25:44","0","100","465","1","2023-12-04 23:25:44","EN","2","TWO","2mins , 30 sec","1","7","13","1","5","2","1","1","5","4","24","2","-99","3","2","-99","4","1","1","8","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:20:40","2023-12-04 23:25:46","0","100","305","1","2023-12-04 23:25:46","EN","2","-99","10","1","7","13","2","3","2","1","2","1","4","23","2","-99","1","2","-99","4","1","2","2","FL_18|CRT ","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:22:08","2023-12-04 23:25:48","0","100","220","1","2023-12-04 23:25:49","EN","2","2","10","1","8","25","1","5","2","2","2","1","4","32","1","-99","1","1","-99","3","3","2","6","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:17:43","2023-12-04 23:25:52","0","100","488","1","2023-12-04 23:25:52","EN","2","16000","50","12","7","13","1","5","2","1","2","2","3","23","2","-99","1","2","-99","4","3","1","4","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:19:17","2023-12-04 23:25:57","0","100","399","1","2023-12-04 23:25:57","EN","2","seven","fifty","five","seven","fifty","1","4","2","1","2","2","5","22","2","-99","1","2","-99","2","2","2","4","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:20:15","2023-12-04 23:26:02","0","100","347","1","2023-12-04 23:26:03","EN","2","2","10","1","7","25","1","3","1","3","2","3","4","23","1","-99","2","6","Mixed race","4","1","3","9","FL_18|CRT ","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:18:22","2023-12-04 23:26:06","0","100","464","1","2023-12-04 23:26:07","EN","2","2","50","1","7","52","1","1","1","1","1","1","4","38","2","-99","3","2","-99","3","1","1","5","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:17:03","2023-12-04 23:26:11","0","100","548","1","2023-12-04 23:26:12","EN","2","2","50","1","7","13","1","4","2","2","2","3","3","24","2","-99","3","2","-99","4","2","1","6","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:13:04","2023-12-04 23:26:17","0","100","792","1","2023-12-04 23:26:17","EN","2","2","10","12","8","25","2","1","2","1","1","5","4","21","2","-99","1","2","-99","2","2","2","9","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:22:49","2023-12-04 23:26:17","0","100","208","1","2023-12-04 23:26:19","EN","2","2","50","1","8","4","1","4","1","2","1","3","4","40","2","-99","6","1","-99","4","2","2","9","CRT |FL_18","MoralDilemmaA |MoralDilemmaC|MoralDilemmaB"
"2023-12-04 23:20:47","2023-12-04 23:26:25","0","100","337","1","2023-12-04 23:26:25","EN","2","0","50","1","7","13","2","1","1","6","1","3","4","21","2","-99","1","2","-99","2","2","1","11","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:21:17","2023-12-04 23:26:28","0","100","311","1","2023-12-04 23:26:29","EN","2","2","50","0","8","13","1","5","2","3","2","3","4","59","2","-99","5","1","-99","4","2","1","9","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:20:43","2023-12-04 23:26:30","0","100","346","1","2023-12-04 23:26:30","EN","2","Seven","Seven","Twelve","Eight","Thirteen","1","6","1","5","1","5","3","28","2","-99","3","1","-99","5","1","2","13","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:21:53","2023-12-04 23:26:33","0","100","279","1","2023-12-04 23:26:33","EN","2","2","10","12","7","25","1","5","1","4","2","3","4","49","1","-99","3","1","-99","5","3","2","10","FL_18|CRT ","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:22:59","2023-12-04 23:26:34","0","100","215","1","2023-12-04 23:26:34","EN","2","Two","50","1","7","4","1","5","2","2","1","4","4","30","2","-99","2","1","-99","2","1","1","8","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:16:51","2023-12-04 23:26:36","0","100","585","1","2023-12-04 23:26:37","EN","2","7","50","1","8","-99","2","1","2","1","2","1","4","23","2","-99","1","2","-99","4","1","1","3","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:18:04","2023-12-04 23:26:39","0","100","515","1","2023-12-04 23:26:39","EN","2","2","50","12","8","13","2","2","1","4","1","5","4","27","2","-99","1","2","-99","4","3","3","12","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:17:59","2023-12-04 23:26:41","0","100","522","1","2023-12-04 23:26:42","EN","2","Two","10 minutes","12","7","13","2","4","2","4","2","3","3","21","2","-99","1","1,2,6","-99","3","1","3","7","CRT |FL_18","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:19:33","2023-12-04 23:26:47","0","100","433","1","2023-12-04 23:26:48","EN","2","1","10","1","7","25","1","5","1","5","2","1","4","32","1","-99","4","6","Latin","6","2","1","9","FL_18|CRT ","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:20:39","2023-12-04 23:27:04","0","100","384","1","2023-12-04 23:27:04","EN","2","Two","50","12","7","13","2","2","2","3","2","3","4","18","1","-99","1","2","-99","3","3","2","6","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:21:24","2023-12-04 23:27:07","0","100","342","1","2023-12-04 23:27:07","EN","2","2","50","1","8","13","2","3","1","4","1","5","4","28","2","-99","1","2","-99","4","2","3","12","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:21:16","2023-12-04 23:27:08","0","100","351","1","2023-12-04 23:27:09","EN","2","Two","2","1","8","25","1","5","2","5","2","3","4","32","1","-99","6","6","Middle-eastern","3","2","1","11","FL_18|CRT ","MoralDilemmaA |MoralDilemmaC|MoralDilemmaB"
"2023-12-04 23:22:29","2023-12-04 23:27:08","0","100","279","1","2023-12-04 23:27:09","EN","2","Two","50","12","7","12","1","5","2","3","2","1","4","27","2","-99","1","6","Latina","4","1","2","5","CRT |FL_18","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:21:43","2023-12-04 23:27:12","0","100","329","1","2023-12-04 23:27:13","EN","2","2","50","1","7","13","1","5","2","4","2","4","4","23","2","-99","1","2","-99","4","1","1","9","FL_18|CRT ","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:19:23","2023-12-04 23:27:15","0","100","472","1","2023-12-04 23:27:16","EN","2","2","50","12","7","13","1","3","2","1","2","1","4","35","1","-99","4","2","-99","3","2","2","3","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:22:45","2023-12-04 23:27:16","0","100","271","1","2023-12-04 23:27:17","EN","2","2","50","12","8","13","2","3","2","1","2","1","4","21","2","-99","1","2","-99","2","3","1","3","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:20:15","2023-12-04 23:27:18","0","100","423","1","2023-12-04 23:27:18","EN","2","2","50","1","8","13","1","4","2","3","2","3","2","25","2","-99","1","1","-99","2","2","1","8","FL_18|CRT ","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:22:37","2023-12-04 23:27:22","0","100","284","1","2023-12-04 23:27:22","EN","2","2","10","1","8","25","1","7","1","7","2","1","4","31","1","-99","1","1","-99","2","2","2","12","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:22:31","2023-12-04 23:27:29","0","100","297","1","2023-12-04 23:27:30","EN","2","2","50","1","8","25","2","3","2","1","2","2","4","43","2","-99","3","1","-99","5","2","2","5","CRT |FL_18","MoralDilemmaA |MoralDilemmaC|MoralDilemmaB"
"2023-12-04 23:21:47","2023-12-04 23:27:31","0","100","344","1","2023-12-04 23:27:32","EN","2","89","50","1","7","13","1","4","2","1","2","1","4","34","2","-99","4","2","-99","4","3","3","3","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:18:58","2023-12-04 23:27:32","0","100","513","1","2023-12-04 23:27:33","EN","2","2","10","12","15","25","1","6","2","2","2","3","7","27","1","-99","2","6","Latin","4","2","1","7","CRT |FL_18","MoralDilemmaA |MoralDilemmaC|MoralDilemmaB"
"2023-12-04 23:23:25","2023-12-04 23:27:36","0","100","251","1","2023-12-04 23:27:37","EN","2","2","10","12","23","25","2","2","2","1","1","4","2","41","1","-99","8","4","-99","5","1","1","7","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:24:10","2023-12-04 23:27:37","0","100","206","1","2023-12-04 23:27:39","EN","2","2","10","1","7","25","1","5","1","5","1","5","4","34","1","-99","3","1","-99","5","2","3","14","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:18:28","2023-12-04 23:27:43","0","100","555","1","2023-12-04 23:27:44","EN","2","Two","Ten","Twelve","Eight","25","1","3","2","1","2","1","4","21","2","-99","1","6","Latin","3","3","3","4","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:20:38","2023-12-04 23:27:54","0","100","435","1","2023-12-04 23:27:54","EN","2","2","10","1","8","10","1","4","2","1","2","1","7","48","2","-99","7","2","-99","5","1","1","4","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:21:44","2023-12-04 23:27:57","0","100","373","1","2023-12-04 23:27:58","EN","2","2","50","1","8","13","1","5","2","1","2","1","4","26","2","-99","1","6","mixed race","4","3","2","4","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:23:25","2023-12-04 23:27:58","0","100","272","1","2023-12-04 23:27:58","EN","2","2","10","1","8","25","1","5","1","5","2","1","8","30","1","-99","2","1","-99","4","1","2","10","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:21:01","2023-12-04 23:28:06","0","100","425","1","2023-12-04 23:28:07","EN","2","50","50","1","7","52","2","1","2","1","2","1","7","27","2","-99","1","2","-99","4","2","2","2","FL_18|CRT ","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:19:35","2023-12-04 23:28:06","0","100","511","1","2023-12-04 23:28:07","EN","2","7876","10","1","7","13","2","1","2","1","2","1","4","26","1","-99","2","2","-99","4","2","3","2","CRT |FL_18","MoralDilemmaA |MoralDilemmaC|MoralDilemmaB"
"2023-12-04 23:22:32","2023-12-04 23:28:11","0","100","338","1","2023-12-04 23:28:11","EN","2","2","50","1","8","25","1","5","1","5","1","5","4","44","1","-99","6","1","-99","3","2","2","15","FL_18|CRT ","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:22:09","2023-12-04 23:28:15","0","100","365","1","2023-12-04 23:28:16","EN","2","2","10","1","7","13","1","4","2","4","1","4","4","23","1","-99","3","6","hispanic","4","1","1","10","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:17:40","2023-12-04 23:28:24","0","100","643","1","2023-12-04 23:28:24","EN","2","2","10","1","8","4","2","1","2","1","2","1","2","30","1","-99","2","2","-99","3","1","2","3","FL_18|CRT ","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:22:11","2023-12-04 23:28:27","0","100","375","1","2023-12-04 23:28:28","EN","2","2","10","1","8","25","1","3","2","2","2","2","4","50","2","-99","8","1","-99","4","1","1","7","FL_18|CRT ","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:19:37","2023-12-04 23:28:33","0","100","536","1","2023-12-04 23:28:34","EN","2","2","50","1","0","8","1","7","1","2","1","4","4","43","1","-99","4","1","-99","4","1","2","9","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:22:00","2023-12-04 23:28:36","0","100","396","1","2023-12-04 23:28:36","EN","2","100","50","1","8","10","2","1","2","1","2","1","3","33","2","-99","5","2","-99","4","1","1","3","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:23:17","2023-12-04 23:28:39","0","100","322","1","2023-12-04 23:28:40","EN","2","2","50","1","7","13","2","3","1","4","2","5","4","37","1","-99","1","2","-99","5","1","2","10","CRT |FL_18","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:19:51","2023-12-04 23:28:42","0","100","530","1","2023-12-04 23:28:43","EN","2","0","1 MINUTE","1","8","13","1","1","1","3","2","1","4","27","2","-99","1","2","-99","4","2","2","7","CRT |FL_18","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:24:15","2023-12-04 23:28:47","0","100","271","1","2023-12-04 23:28:48","EN","2","2","50","1","7","26","2","3","2","1","2","2","4","20","2","-99","1","1","-99","4","1","1","3","FL_18|CRT ","MoralDilemmaA |MoralDilemmaC|MoralDilemmaB"
"2023-12-04 23:19:42","2023-12-04 23:28:47","0","100","545","1","2023-12-04 23:28:48","EN","2","two","50","1","7","26","1","5","2","2","2","2","4","47","1","-99","1","6","-99","2","2","2","5","CRT |FL_18","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:18:54","2023-12-04 23:28:49","0","100","594","1","2023-12-04 23:28:50","EN","2","2","10","12","8","14","1","4","1","4","1","4","4","39","1","-99","8","1","-99","4","1","2","12","FL_18|CRT ","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:23:36","2023-12-04 23:28:58","0","100","321","1","2023-12-04 23:28:58","EN","2","2","50","12","8","6","1","5","2","1","2","3","4","24","2","-99","2","2","-99","4","2","2","6","FL_18|CRT ","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:24:33","2023-12-04 23:29:05","0","100","271","1","2023-12-04 23:29:06","EN","2","2","10","12","8","25","1","5","2","6","2","3","7","33","3","-99","3","1","-99","3","3","3","12","FL_18|CRT ","MoralDilemmaA |MoralDilemmaC|MoralDilemmaB"
"2023-12-04 23:21:29","2023-12-04 23:29:08","0","100","458","1","2023-12-04 23:29:08","EN","2","7","50","12","8","52","1","6","2","3","1","4","4","31","2","-99","5","2","-99","4","2","2","10","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:26:16","2023-12-04 23:29:11","0","100","174","1","2023-12-04 23:29:11","EN","2","500","10","1","8","25","1","7","2","1","2","3","4","34","1","-99","7","1","-99","4","1","1","7","CRT |FL_18","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:22:06","2023-12-04 23:29:13","0","100","426","1","2023-12-04 23:29:13","EN","2","2","50","1","7","52","1","5","2","1","2","2","4","41","2","-99","3","2","-99","3","1","1","4","FL_18|CRT ","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
